5_3_exonuclease	usalign	irmsd	1.46
5_3_exonuclease	usalign	lddt	0.640955
5_3_exonuclease	usalign	lddt_columns	210/320
5_3_exonuclease	usalign	nirmsd	2.10
5_3_exonuclease	usalign	sp_fwd	63.700000
5_3_exonuclease	usalign	sp_rev	71.000000
5_3_exonuclease	usalign	tc	63.700000
5_3_exonuclease	usalign	time	0.37
6PF2K	3dcoffee	apdb	95.38
6PF2K	3dcoffee	cs	100.000000
6PF2K	3dcoffee	irmsd	0.36
6PF2K	3dcoffee	lddt	0.962265
6PF2K	3dcoffee	lddt_columns	212/214
6PF2K	3dcoffee	nirmsd	0.39
6PF2K	3dcoffee	sp_fwd	100.000000
6PF2K	3dcoffee	sp_rev	100.000000
6PF2K	3dcoffee	tc	100.000000
6PF2K	caretta	apdb	95.38
6PF2K	caretta	cs	100.000000
6PF2K	caretta	irmsd	0.36
6PF2K	caretta	lddt	0.962265
6PF2K	caretta	lddt_columns	212/214
6PF2K	caretta	nirmsd	0.39
6PF2K	caretta	sp_fwd	100.000000
6PF2K	caretta	sp_rev	100.000000
6PF2K	caretta	tc	100.000000
6PF2K	caretta	time	63.43
6PF2K	clustalo	apdb	95.38
6PF2K	clustalo	cs	100.000000
6PF2K	clustalo	irmsd	0.36
6PF2K	clustalo	lddt	0.962265
6PF2K	clustalo	lddt_columns	212/214
6PF2K	clustalo	nirmsd	0.39
6PF2K	clustalo	sp_fwd	100.000000
6PF2K	clustalo	sp_rev	100.000000
6PF2K	clustalo	tc	100.000000
6PF2K	clustalo	time	0.19
6PF2K	famsa	apdb	95.38
6PF2K	famsa	cs	100.000000
6PF2K	famsa	irmsd	0.36
6PF2K	famsa	lddt	0.962265
6PF2K	famsa	lddt_columns	212/214
6PF2K	famsa	nirmsd	0.39
6PF2K	famsa	sp_fwd	100.000000
6PF2K	famsa	sp_rev	100.000000
6PF2K	famsa	tc	100.000000
6PF2K	famsa	time	0.09
6PF2K	foldmason	apdb	95.38
6PF2K	foldmason	cs	100.000000
6PF2K	foldmason	irmsd	0.36
6PF2K	foldmason	lddt	0.962265
6PF2K	foldmason	lddt_columns	212/214
6PF2K	foldmason	nirmsd	0.39
6PF2K	foldmason_refine100	apdb	95.38
6PF2K	foldmason_refine100	cs	100.000000
6PF2K	foldmason_refine100	irmsd	0.36
6PF2K	foldmason_refine100	lddt	0.962265
6PF2K	foldmason_refine100	lddt_columns	212/214
6PF2K	foldmason_refine100	nirmsd	0.39
6PF2K	foldmason_refine100	sp_fwd	100.000000
6PF2K	foldmason_refine100	sp_rev	100.000000
6PF2K	foldmason_refine100	tc	100.000000
6PF2K	foldmason_refine100	time	1.15
6PF2K	foldmason	sp_fwd	100.000000
6PF2K	foldmason	sp_rev	100.000000
6PF2K	foldmason	tc	100.000000
6PF2K	foldmason	time	0.83
6PF2K	homstrad_hmean	lddt	0.953644
6PF2K	homstrad_hmean	lddt_columns	212/214
6PF2K	homstrad	lddt	0.962265
6PF2K	homstrad	lddt_columns	212/214
6PF2K	mafft	apdb	95.38
6PF2K	mafft	cs	100.000000
