S7TGR0	3.30.450.20,3.30.450.20,3.30.450.20,3.30.70.270	22	4	S7TGR0,A0A024Q9X2,A0A081C2S1,A0A081FYN0,A0A094LAP2,A0A0D0EJJ2,A0A0Q7AIY1,A0A0S8EHA3,A0A139CFF7,A0A1G5UZ69,A0A1I1QJM6,A0A1M2UWS7,A0A1X7I068,A0A1Y3QA31,A0A271M8F0,A0A2D0B4P4,A0A2E8Q2H2,A0A2G3K7G5,A0A2G6FBB3,A0A2H5YWU5
R9KI14	3.40.50.1390,3.90.1750.20,-.-.-.-,1.10.287.3550	50	4	R9KI14,A0A017RRS3,A0A069DGY7,A0A075JW35,A0A075UWB7,A0A0B8PNY6,A0A0G0UIN9,A0A0G1CCQ7,A0A0L0WAH0,A0A0M6WHU0,A0A0P8VSS5,A0A0Q7K6I7,A0A0U4FA68,A0A101E883,A0A101XTE0,A0A160P9U0,A0A1A7BGY6,A0A1C4K6H8,A0A1C6GEY5,A0A1C6GV39
M5RUD2	2.60.40.10,2.60.40.10,2.60.40.680,2.60.40.1510	120	4	M5RUD2,A0A098E745,A0A0B5KUN8,A0A0C7P067,A0A0G0AU74,A0A0G0BQ12,A0A0G0D836,A0A0G0DKC8,A0A0G0G8H5,A0A0G0IX31,A0A0G0NLL1,A0A0G0RCK3,A0A0G0TL19,A0A0G0TST0,A0A0G0Z508,A0A0G1A8A9,A0A0G1C9F0,A0A0G1HEE5,A0A0G1MYF4,A0A0G1Q8X7
L9WUI5	2.60.40.-,2.60.40.10,2.60.40.10,2.60.40.10	29	4	L9WUI5,A0A101RUV6,A0A1G3QR07,A0A1V1NZA5,A0A243RAD9,A0A2W4N3F4,A0A2Z3UW34,A0A366GJ98,A0A372JUL7,A0A3A4ABG8,A0A3C1EER0,A0A3D9STY4,A0A4R6JD70,A0A561BQ40,A0A5C8JPQ9,A0A660KZK2,A0A6J6PNF2,A0A7C5DS41,A0A7K4BDR5,A0A7M5XEW5
K6ACG0	3.40.50.1390,3.90.1750.20,-.-.-.-,1.10.287.160	27	4	K6ACG0,A0A059KGS1,A0A085FI25,A0A090S8I3,A0A0A6CY16,A0A0A8EDV7,A0A0Q4ZNE0,A0A150RTI2,A0A1C7W658,A0A1I2B5K2,A0A1M4VGI6,A0A1Y0HX05,A0A1Y4LA55,A0A257GYP8,A0A2E3QU67,A0A2N0ZYY6,A0A2N3IZ99,A0A2R8CIE4,A0A377P111,A0A3C1LY10
K0EYU6	3.40.50.1390,3.90.1750.-,-.-.-.-,1.10.287.940	25	4	K0EYU6,A0A011WU75,A0A0F5MVW9,A0A0G0AWK0,A0A0G0VFX1,A0A0J8V8Y4,A0A0Q7IY74,A0A127EHU7,A0A158B850,A0A162T1X1,A0A162T2K8,A0A1B8VVB9,A0A1H7JYF2,A0A1I5MFL0,A0A1S2P0M5,A0A1U9K6G0,A0A1V4HZW6,A0A1V4W4H1,A0A2P7S036,A0A4V0HT04
I4F5N6	2.60.40.10,3.20.110.10,1.20.1270.70,2.60.40.2310	20	4	I4F5N6,A0A0A0BNA9,A0A179B3D1,A0A1B1BQ07,A0A1G9ZW81,A0A1H9B6P6,A0A1M4V202,A0A1Y2MPV0,A0A2T0Q6V5,A0A2T2RJK6,A0A354BAV1,A0A354SB21,A0A354XSZ6,A0A428Z8Y6,A0A6C7ECU5,A0A6N9EZS0,A0A7J9Z2W9,A0A7K0A2Y6,A0A7W7C5N0,A0A7W7QNX8
E8N900	2.60.40.1120,2.60.40.-,2.60.40.2700,2.60.40.2700	35	4	E8N900,A0A0A2WJK1,A0A0L6JLE5,A0A0Q7KLF3,A0A0Q8Q4R4,A0A0Q8W6V3,A0A178IEQ8,A0A1G0WHP1,A0A1Q2HNI8,A0A1V5L1Q0,A0A251Y4M2,A0A2D5ATU0,A0A2E2JDC1,A0A2E6DI16,A0A2M9AR75,A0A2S3ZM28,A0A348XGH5,A0A3A5HDT0,A0A3D1F0S1,A0A3E0W0E7
D3TB77	3.40.50.11060,1.10.287.990,3.40.50.300,3.30.70.-	84	4	D3TB77,A0A059ED06,A0A086YC58,A0A089IES9,A0A089LC12,A0A0F0CPF9,A0A0H2SUZ8,A0A0K2BLP5,A0A0Q0VP61,A0A0Q7EHP4,A0A0R0CVR1,A0A0R2HLV0,A0A0S7X5B2,A0A0S7XE79,A0A0S8GA31,A0A0S8IJS8,A0A0U1QSA7,A0A0W7WP99,A0A133YMH3,A0A136MH28
B4WMN9	3.30.200.20,1.10.510.10,2.30.29.-,1.10.287.470	20	4	B4WMN9,A0A0D8ZL85,A0A0P7YM11,A0A0S3TX51,A0A1U7I080,A0A1Z4SE35,A0A1Z4UL81,A0A2N2JCC5,A0A2N6N0F3,A0A349JJW6,A0A350Y8H0,A0A3B8JNC1,A0A3C1LYN7,A0A3S1AIK4,A0A563VW47,A0A7C3VQN0,A0A7S2ZMC1,A0A7X6CBW0,K9PYY7,K9UK26
A0A851GER1	2.60.120.200,2.60.40.10,3.60.21.10,2.60.40.1120	20	4	A0A851GER1,A0A1F3N6L2,A0A1U9NJC8,A0A1U9NN13,A0A1U9NN48,A0A1W9RS18,A0A1Z8YLY8,A0A258F1E6,A0A2E0B1B3,A0A2E1VSA5,A0A2E3KM99,A0A2E8FKG7,A0A2T2TC97,A0A2T4X1E5,A0A351C6H7,A0A3M2AGY1,A0A432IJR6,A0A553EXE5,A0A7C4YNR8,A0A7C5KMA1
A0A838UTW2	3.30.450.20,3.30.450.20,1.10.287.-,3.30.565.10	23	4	A0A838UTW2,A0A0D2K1W5,A0A0G0N2R9,A0A0K1J7C7,A0A0N0EAK8,A0A0N8GR36,A0A1A9GGA9,A0A1A9GGC8,A0A1H7L8R2,A0A1H7QWH7,A0A212JA70,A0A2E0L828,A0A2M6WJ88,A0A2P8GT69,A0A3L8NXR3,A0A3M0ZPY2,A0A3N5NP69,A0A4T0UNA7,A0A515EP81,A0A518BJU5
A0A838HGE3	2.60.40.1120,2.60.40.1120,2.60.40.2890,2.60.40.-	53	4	A0A838HGE3,A0A090QRG4,A0A090R849,A0A0A1H5Y3,A0A0D8CRQ5,A0A0N0JVD4,A0A0N1AHR2,A0A0P9HL27,A0A0Q6N0D1,A0A0Q6XEK2,A0A0S8F796,A0A136NRB1,A0A1A9HJR8,A0A1E4NW52,A0A1H7NTJ6,A0A1J5MUR9,A0A1K2HCQ0,A0A1K2HRM9,A0A1Q2M9D5,A0A1Y5E874
A0A7Y4YBM7	2.60.40.10,2.60.40.3620,2.60.40.3620,2.60.40.-	36	4	A0A7Y4YBM7,A0A098BWE7,A0A0E9N6A0,A0A0P0DC59,A0A127B4Y7,A0A174U588,A0A1G6Q0C5,A0A1G7PLB9,A0A1H3GHU5,A0A1H3YVM0,A0A1H4JS00,A0A1J5LV52,A0A1M3DLA8,A0A1M5EI11,A0A1M5FXI9,A0A1M6W5U9,A0A1R3T2C2,A0A1W6E9N8,A0A1X7IT94,A0A1Y0M4S2
