set	quartet_similarity_concat	quartet_similarity_aa	quartet_similarity_3di	rf_distance_concat	rf_distance_aa	rf_distance_3di
E	0.926897521582956	0.922063047870169	0.932992870768738	0.520491803278688	0.655737704918033	0.532786885245902
E1	0.917834845771082	0.862684321073097	0.859435595474065	0.219251336898396	0.427807486631016	0.663101604278075
E2	0.776632321224352	0.77101761303788	0.799196776386005	0.360215053763441	0.43010752688172	0.505376344086022
